Component,Dependency
"assessments/components/favourites-list/AssessmentFavouritesList.svelte","ratings/components/rating-indicator-cell/RatingIndicatorCell.svelte"
"assessments/components/favourites-list/AssessmentFavouritesList.svelte","assessments/components/list/AssessmentDefinitionTooltipContent.svelte"
"assessments/components/favourites-list/AssessmentFavouritesList.svelte","common/svelte/NoData.svelte"
"assessments/components/info-tile/AssessmentWidget.svelte","report-grid/components/svelte/column-definition-edit-panel/DropdownPicker.svelte"
"assessments/components/info-tile/AssessmentWidget.svelte","common/svelte/NoData.svelte"
"assessments/components/list/AssessmentDefinitionTooltipContent.svelte","common/svelte/Markdown.svelte"
"assessments/components/list/AssessmentDefinitionTooltipContent.svelte","common/svelte/Icon.svelte"
"assessments/components/list/AssessmentRatingList.svelte","assessments/components/list/AssessmentRatingListGroup.svelte"
"assessments/components/list/AssessmentRatingList.svelte","common/svelte/Icon.svelte"
"assessments/components/list/AssessmentRatingList.svelte","common/svelte/SearchInput.svelte"
"assessments/components/list/AssessmentRatingListGroup.svelte","common/svelte/Icon.svelte"
"assessments/components/list/AssessmentRatingListGroup.svelte","common/svelte/Tooltip.svelte"
"assessments/components/list/AssessmentRatingListGroup.svelte","ratings/components/rating-indicator-cell/RatingIndicatorCell.svelte"
"assessments/components/list/AssessmentRatingListGroup.svelte","assessments/components/list/AssessmentDefinitionTooltipContent.svelte"
"assessments/components/list/AssessmentRatingListGroup.svelte","assessments/components/list/AssessmentRatingTooltipContent.svelte"
"assessments/components/list/AssessmentRatingTooltipContent.svelte","common/svelte/Markdown.svelte"
"assessments/components/list/AssessmentRatingTooltipContent.svelte","common/svelte/Icon.svelte"
"assessments/components/list/AssessmentRatingTooltipContent.svelte","common/svelte/LastEdited.svelte"
"assessments/components/rating-editor/AssessmentRatingEditor.svelte","common/svelte/Markdown.svelte"
"assessments/components/rating-editor/AssessmentRatingEditor.svelte","common/svelte/Icon.svelte"
"assessments/components/rating-editor/AssessmentRatingEditor.svelte","common/svelte/SubSection.svelte"
"assessments/components/rating-editor/AssessmentRatingEditor.svelte","assessments/components/rating-editor/RatingListView.svelte"
"assessments/components/rating-editor/AssessmentRatingEditor.svelte","assessments/components/rating-editor/RatingDetailView.svelte"
"assessments/components/rating-editor/AssessmentRatingEditor.svelte","assessments/components/rating-editor/RemoveRatingConfirmationPanel.svelte"
"assessments/components/rating-editor/AssessmentRatingEditor.svelte","assessments/components/rating-editor/RatingAddView.svelte"
"assessments/components/rating-editor/AssessmentRatingEditor.svelte","common/svelte/NoData.svelte"
"assessments/components/rating-editor/EditableRatingValue.svelte","common/svelte/Icon.svelte"
"assessments/components/rating-editor/EditableRatingValue.svelte","common/svelte/SavingPlaceholder.svelte"
"assessments/components/rating-editor/EditableRatingValue.svelte","ratings/components/rating-indicator-cell/RatingIndicatorCell.svelte"
"assessments/components/rating-editor/EditableRatingValue.svelte","assessments/components/rating-editor/RatingItemDropdownPicker.svelte"
"assessments/components/rating-editor/RatingAddView.svelte","common/svelte/Icon.svelte"
"assessments/components/rating-editor/RatingAddView.svelte","common/svelte/Markdown.svelte"
"assessments/components/rating-editor/RatingDetailView.svelte","ratings/components/rating-indicator-cell/RatingIndicatorCell.svelte"
"assessments/components/rating-editor/RatingDetailView.svelte","common/svelte/LastEdited.svelte"
"assessments/components/rating-editor/RatingDetailView.svelte","common/svelte/TextEditableField.svelte"
"assessments/components/rating-editor/RatingDetailView.svelte","common/svelte/Icon.svelte"
"assessments/components/rating-editor/RatingDetailView.svelte","assessments/components/rating-editor/EditableRatingValue.svelte"
"assessments/components/rating-editor/RatingDetailView.svelte","common/svelte/Markdown.svelte"
"assessments/components/rating-editor/RatingItemDropdownPicker.svelte",
"assessments/components/rating-editor/RatingListView.svelte","common/svelte/NoData.svelte"
"assessments/components/rating-editor/RatingListView.svelte","ratings/components/rating-indicator-cell/RatingIndicatorCell.svelte"
"assessments/components/rating-editor/RatingListView.svelte","common/svelte/Icon.svelte"
"assessments/components/rating-editor/RemoveRatingConfirmationPanel.svelte","ratings/components/rating-indicator-cell/RatingIndicatorCell.svelte"
"assessments/components/rating-editor/RemoveRatingConfirmationPanel.svelte","common/svelte/Icon.svelte"
"attestation/components/svelte/MeasurableAttestationPanel.svelte","common/svelte/NoData.svelte"
"attestation/components/svelte/MeasurableAttestationPanel.svelte","attestation/components/svelte/MeasurableAttestationSubPanel.svelte"
"attestation/components/svelte/MeasurableAttestationPanel.svelte","common/svelte/LoadingPlaceholder.svelte"
"attestation/components/svelte/MeasurableAttestationSubPanel.svelte","common/svelte/Icon.svelte"
"attestation/components/svelte/MeasurableAttestationSubPanel.svelte","common/svelte/SubSection.svelte"
"attestation/components/svelte/MeasurableAttestationSubPanel.svelte","common/svelte/NoData.svelte"
"attestation/components/svelte/MeasurableAttestationSubPanel.svelte","common/svelte/MiniActions.svelte"
"attestation/components/svelte/MeasurableAttestationSubPanel.svelte","common/svelte/DateTime.svelte"
"attestation/components/svelte/MeasurableAttestationSubPanel.svelte","common/svelte/SearchInput.svelte"
"bookmarks/svelte/BookmarkCategoryMenu.svelte","common/svelte/Icon.svelte"
"bookmarks/svelte/BookmarkEditor.svelte",
"bookmarks/svelte/BookmarkListItem.svelte","common/svelte/Icon.svelte"
"bookmarks/svelte/BookmarkListItem.svelte","common/svelte/MiniActions.svelte"
"bookmarks/svelte/BookmarkListItem.svelte","common/svelte/DateTime.svelte"
"bookmarks/svelte/BookmarkListItem.svelte","common/svelte/LastEdited.svelte"
"bookmarks/svelte/BookmarkPanel.svelte","bookmarks/svelte/BookmarkCategoryMenu.svelte"
"bookmarks/svelte/BookmarkPanel.svelte","bookmarks/svelte/BookmarkEditor.svelte"
"bookmarks/svelte/BookmarkPanel.svelte","bookmarks/svelte/BookmarkTable.svelte"
"bookmarks/svelte/BookmarkPanel.svelte","bookmarks/svelte/BookmarkRemovalConfirmation.svelte"
"bookmarks/svelte/BookmarkPanel.svelte","common/svelte/Icon.svelte"
"bookmarks/svelte/BookmarkPanel.svelte","common/svelte/NoData.svelte"
"bookmarks/svelte/BookmarkPanel.svelte","common/svelte/SearchInput.svelte"
"bookmarks/svelte/BookmarkPanel.svelte","common/svelte/LoadingPlaceholder.svelte"
"bookmarks/svelte/BookmarkRemovalConfirmation.svelte",
